zipcode;0-11;12-17;18-34;35-65;65-
14052;8.3;4.1;18.7;48.3;20.6
14053;13.7;6.7;13.5;46.6;19.5
14050;7.3;3.3;27.5;36.5;25.5
13088;10.8;4.1;21.6;42.8;20.7
13089;8.4;4.5;12.3;48.9;26.1
14057;8.5;4.1;22;42.9;22.6
13086;10.5;3.8;27.1;42.6;16.1
14055;8;3.8;13.8;49.8;24.6
13409;10.9;4.7;27;38.9;18.5
10777;7.8;3.8;21.6;45.8;21
12559;9.4;4.3;16.7;41.3;28.2
10779;8.1;3.8;20.6;45.9;21.5
13407;9.6;4.3;24.1;39.7;22.3
12439;9.9;3.6;24.6;38.2;23.7
13125;11.7;5.2;19.8;45.5;18
12277;9.8;5.5;16.6;40.8;27.3
12279;10.2;5.5;16.6;41;26.7
12157;9.2;3.8;22.5;42.3;22.2
14059;8;3.3;31.1;38.1;19.6
12557;10.9;4;20.5;42.2;22.4
13129;10.7;5;15;47.4;21.9
12437;8.4;3.7;23.4;37.8;26.7
12679;11.3;4;22.1;42.1;20.6
13405;10.8;4.8;25.3;40;19.2
12159;10.4;5.1;20.1;46;18.5
13127;12.3;5;19.4;46.9;16.4
12555;10.3;4.2;20.5;40.1;24.9
12435;11;6.3;23.3;45.1;14.4
13403;9.9;4.4;22.8;40.7;22.2
12161;10;4.6;21.8;45;18.7
12681;10;3.9;23.6;43.6;19
12163;9.6;4.4;21.7;43.5;20.8
12165;9.3;4.6;21.4;42.6;22.1
12043;11.4;4.9;38.3;36.2;9.3
10789;7.2;3.2;20;46.1;23.5
12207;9.7;5.1;18.9;39.6;26.8
12209;9.5;5.2;17.4;41.9;26.1
10823;9.7;4.2;26.3;45.3;14.5
10825;9.5;4.1;25.3;44;17
10707;8.5;4;21.2;44.7;21.6
10827;10.4;4.7;25.1;44.5;15.3
12685;10.5;3.9;19.6;42;24.1
12167;9.3;4;21;41.6;24.1
10781;9.6;4.7;24.4;46.3;15.1
12045;10.9;4.1;35.3;38.8;10.9
12683;9.5;4.3;17.6;45.6;23
12169;9.7;4.2;23.4;42.6;20.1
10783;10.1;4.7;25.6;45.6;14
12047;10.4;4;38.6;39.4;7.8
12689;12.4;4.4;29.6;45.3;8.3
10785;10;4.3;28.6;43.1;14.1
14109;11.1;6;14.8;41.1;27
12203;10;5.3;19.6;42.3;22.8
12049;11.2;4.5;35.6;38.9;9.7
12687;11.4;4.4;22.4;43.3;18.7
10787;7.6;3.3;23.9;44.4;20.8
12205;10.8;6.3;16.2;42.8;24
13583;9.9;5.2;23.2;41.2;20.5
13187;12.4;4.5;24.3;42.6;16.3
12099;10.5;4.5;27.6;39.2;18.2
13581;10.5;5.2;21.1;39.2;23.9
13507;7.9;6;24.1;38.8;23.4
10117;8.9;3.4;26;45.6;16.2
13629;11.6;5.1;26.3;38.5;18.7
10997;10.4;4.8;31.5;44.7;8.6
13505;7.9;7.1;21.9;38.6;24.5
13627;11.1;4.6;25.7;38.4;20.2
10999;12;5.9;29.3;42.6;10.2
10119;12.1;3.3;30.4;46.5;7.8
13509;9;4.9;19.8;42;24.3
13587;9.6;5;19.9;38.8;26.7
13467;9.5;5.9;12.4;42.6;29.6
13189;12.1;3.5;27.6;42;14.7
13585;10.6;5.2;25.5;39.8;18.9
13465;10.2;6.3;11.5;42.1;30.1
13503;7.8;8.9;29;35.6;18.8
