zipcode;percent_kids;percent_teens;percent_yas;percent_grownups;percent_seniors
10997;14.2;6.4;30.6;42.5;6.3
10709;7.4;3.8;22.2;50.4;16.1
10999;15.4;7.1;27.5;41;9.1
13355;14.3;7.6;24.3;39.3;14.5
13357;14.4;7.1;26.3;39.9;12.4
10405;7.6;5;35.7;38.7;12.9
13359;12.6;6.2;26.1;40.4;14.8
10407;6.3;4.4;24;49.6;15.7
10409;6.1;4.2;28.8;40.7;20.2
12524;13.4;10.1;21.6;43.6;11.4
13351;9.9;4.8;25.3;45.2;14.8
13353;10.8;6.4;26.5;44.7;11.7
10711;5.9;5.4;18.3;48.9;21.4
10823;10;4.7;26.4;47.4;11.5
10713;8.3;4.4;22.7;48.1;16.5
10825;9.8;4.7;24.6;46.9;14
12526;8.3;7.4;18.8;46.5;18.9
10715;8.8;4;22.4;48.6;16.2
12527;8.4;7;17.8;48.4;18.4
12099;10.7;5.2;23.5;43;17.6
10827;11;5.3;24.6;47.7;11.5
10717;7.6;3.7;22.2;49.2;17.3
12487;7.7;5.5;19.7;47.5;19.6
13158;10.9;7.6;21.5;45.7;14.3
13159;7.6;8.1;16.3;51.5;16.5
10719;7.2;3.8;22.4;51.5;15.1
13156;10.8;6.7;23.8;43.8;14.9
12489;7;5;20;49.7;18.2
12349;10.3;5.6;19.3;46.4;18.5
14109;11.4;7.2;16.8;47.5;17.1
12347;10.3;5.4;22.9;44.1;17.4
13349;9.3;4.7;22.8;43.9;19.4
13059;8.7;13.5;20.2;46.8;10.7
13347;12.8;6.1;26.1;40.1;14.9
13057;9.5;11.4;25.9;46.6;6.6
10629;8.2;3.9;23.1;53;11.8
13055;8.2;7.5;25.2;45.7;13.4
10627;8.5;4.3;24.1;50.5;12.7
13053;8.5;8.9;25.3;48.2;9.2
10625;8.6;4.2;25.3;48.6;13.3
13051;8.3;10.5;18.9;49.1;13.2
10623;7.2;4.2;25.4;50.9;12.4
12687;7.7;8.3;25.4;48.9;9.8
12689;10.3;9.8;29.6;45.7;4.6
12459;8.5;5.6;25.1;41.2;19.7
12683;6.8;8.7;20.5;49.6;14.3
12685;7.7;9;22.8;47.1;13.4
12353;10.8;6.4;17.6;46.8;18.5
12355;13.1;8.2;18.7;46.9;13.3
12357;11.2;7.4;17.3;48.2;16
12359;9.7;6;17.7;47.6;18.9
10117;7.4;6.4;27.1;48.4;10.7
13439;11.7;7.9;18;46.8;15.7
13407;9;4.8;20.7;44.3;21.2
10119;8.1;4.9;40.9;37.8;8.2
13409;10.7;5.3;22.4;43.2;18.5
12351;10.2;6;17.6;46.6;19.5
10178;6.6;5.6;24.1;46.3;17.5
12681;7;7;25;50.1;10.9
13435;11;7;17.6;46.8;17.7
13403;9.2;5.1;20.8;45.2;19.6
10115;8;4.9;41.1;39.4;6.7
10179;5.9;5.3;22.6;44.7;21.6
13437;10.5;6.1;17.7;46.7;19.2
13405;10.4;5.5;22.1;45;17
14089;10.8;6.8;14.9;50.9;16.6
12679;7.9;9.5;24.5;46.2;12
14163;10.7;6.3;16.7;47.4;18.8
12103;9;4.1;21.6;45.6;20
12101;10.2;4.9;25.6;45.8;13.6
14167;10.4;5.5;19.1;46.3;18.8
12107;9.7;5.5;18.9;46.2;19.7
12105;9;4.3;21;45.3;20.6
14165;9.9;5.8;16.9;46.3;21.3
12043;13.9;6.4;29.1;41.8;8.8
10315;7.1;5.6;25.2;45.5;16.6
12249;10.1;5.7;19.4;45.1;19.7
12247;9.2;4.7;20;44.4;21.8
10317;8.8;6.4;28.1;43.4;13.3
12109;10.1;5.3;20.2;44;20.4
10318;8.6;6.7;24.9;44.6;15.1
10319;7.1;5.5;26.2;43.1;18.2
12049;13.3;6.4;28;42.5;9.8
12047;13;5.8;31;42.2;8.2
12045;12;5.5;27.6;43;11.9
14169;11.4;5.8;18;47.2;17.6
10243;8.2;5.8;37.3;36.1;12.6
12627;12.8;13.8;23.1;41.3;9
13591;13.9;7.2;18.7;46;14.2
13593;11.6;6.3;17.1;44;21
12629;11.6;13;25;41.7;8.7
10247;5.8;3.8;32.9;50;7.7
13627;10.1;6.2;22.6;41.3;19.9
13595;9;5.1;16.3;46.9;22.7
10245;8;5.2;41.4;36.3;9.1
13629;10.7;5.9;23.4;42.4;17.7
12159;10.2;4.9;21;51.4;12.7
12059;10.8;5.4;26.7;45.5;11.7
13189;8.2;5.1;33;38.9;14.8
12057;12.8;6.5;23.2;44.1;13.4
10249;6.3;4.3;30.7;46.5;12.2
12621;9.6;11.3;19.9;47.9;11.2
12623;8.2;10.5;18.3;49.2;13.8
12157;9.8;4.7;22;45.8;17.7
12051;12.7;6.3;26.3;42.9;11.8
12207;10.4;5.6;19.3;46.4;18.3
10589;8.8;4.4;26.8;48;12.2
12305;10.8;6.4;17.9;47.8;17
12209;10.6;5.7;18.6;46.3;18.8
10587;9.3;4.9;26.8;45.3;13.8
12055;12;5.9;26.4;46.2;9.6
10585;8.9;4.5;24.5;46.9;15.3
12053;14.2;6.6;28.5;41.4;9.3
13187;8.9;5.9;30;39.8;15.6
13086;8.3;6.4;27.7;41.7;15.8
13597;11.8;6.4;19.7;46;16.1
13088;8.4;7.3;23.5;43.9;16.9
13599;13.5;5.3;21.8;44.3;15.1
13089;7.3;8.1;16.9;49.1;18.7
12307;10.5;6.3;17.5;47;18.8
12203;9.9;5.2;20.7;47.9;16.4
12309;11.2;7;16.6;47.4;17.9
12205;10.6;5.4;18.4;48.5;17.1
10963;11.7;7.3;28.1;45.6;7.3
13583;10.3;6.1;21.1;45.6;16.8
10961;11.6;5.1;28.2;46.8;8.4
14059;8;4.1;28;42.3;17.6
12619;9.9;12.7;22.9;45.3;9.2
13581;10.3;6.1;20.3;45.8;17.5
10967;12.5;5.8;28.6;44;9.2
10965;10.8;5.5;27.4;47;9.3
12169;9.7;5;22.4;46;17
12167;8.9;4.6;21.2;46.1;19.3
10969;13;7.1;25;41.8;13.1
12165;9.2;4.8;21.6;47.7;16.7
10437;7.6;4;47.3;33.7;7.6
10439;7.3;4.2;42.9;35.3;10.3
12163;9.5;4.8;21.8;48.3;15.7
12161;9.7;4.7;22.4;49.7;13.7
12559;8.7;8.6;18.4;47.3;17.1
14057;8.3;4.2;21.3;49;17.2
13587;11;6.8;20.6;43.5;18.2
12557;8.5;7.6;21.5;45.2;17.2
13585;11.2;6.4;23.3;43.2;15.9
14055;8.1;5.2;14;54.2;18.5
12555;8.1;7.3;21.6;44.5;18.5
12589;9.1;7.8;18.6;48.5;16
14053;13.7;8.7;12.8;51;13.9
14052;8.5;4.6;17.3;54.3;15.3
12587;7.5;5.5;19.9;41.5;25.4
13589;10.2;6.5;18.9;44.7;19.7
10435;8.1;4.1;48;34.4;5.5
14050;7.1;3.7;23.8;45.2;20.2
13503;15.8;3.7;12.5;53.8;14.3
12277;9.9;5.9;18.3;48.2;17.6
12279;10.7;6.6;18;47.6;17.2
10707;7.8;4.3;22.5;50.3;15.1
10365;7.7;6.2;25.6;46;14.5
13509;10.3;5.7;19.9;46.8;17.3
10369;7;5.8;24;45.4;17.7
13505;12.9;5.1;14.8;51.9;15.4
10367;7.5;5.7;30.1;43.9;12.8
13507;12.1;4.3;17.2;48.5;18
10777;8.9;4.6;22;48.7;15.9
10779;8.1;4.2;22;49;16.7
10829;11;4.9;25.5;45.7;13
13129;9.4;8.1;19.5;46.7;16.3
13127;11;6.4;24.6;45.1;12.9
13125;10.8;7.3;22.8;46;13.2
12437;7.5;5.4;20.4;43.9;22.8
13467;11;6.3;15.4;49.8;17.6
10551;10.8;5.9;28.2;45.6;9.5
12435;11.5;5.5;25.9;43.7;13.4
