plz;percent_foreigners
10997;33.5
10709;22.5
10999;33.6
13355;30.9
13357;35.4
10405;14
13359;30
10407;11.2
10409;10.7
12524;3.9
13351;27.7
13353;35.9
10711;23
10823;22.3
10713;21.1
10825;21.6
12526;4.6
10715;20.5
12527;4
12099;20.9
10827;21.2
10717;22.3
12487;12.8
13158;4.5
13159;2.1
10719;26.1
13156;7.7
12489;18.1
12349;11.8
14109;10.7
12347;19.8
13349;24.3
13059;4.6
13347;34.1
13057;15.1
10629;27
13055;6.3
10627;25.5
13053;9.9
10625;29.1
13051;4.9
10623;28.5
12687;6.4
12689;18.1
12459;6.3
12683;6.7
12685;5.1
12353;13
12355;7
12357;10.9
12359;13.2
10117;28.4
13439;16.2
13407;18.3
10119;23.2
13409;23.1
12351;13.3
10178;23.7
12681;14.8
13435;14
13403;16.5
10115;24.1
10179;21.5
13437;12.5
13405;21.2
14089;9.7
12679;5.7
14163;9.3
12103;12.2
12101;17.9
14167;13.1
12107;11.5
12105;13
14165;9.6
12043;36.6
10315;19
12249;12
12247;12.1
10317;10.1
12109;14.1
10318;6.1
10319;10.4
12049;33.9
12047;35.3
12045;31.4
14169;11.9
10243;20.9
12627;7.7
13591;9.3
13593;13
12629;7
10247;14.7
13627;35.6
13595;8.5
10245;15.2
13629;31.3
12159;13.2
12059;28.7
13189;9.5
12057;33.5
10249;13.8
12621;2.7
12623;2.1
12157;13.9
12051;31.8
12207;14.6
10589;23.8
12305;8.3
12209;10.3
10587;28.2
12055;36.4
10585;25.7
12053;36.3
13187;8.4
13086;8.9
13597;16.3
13088;5.7
13599;24.3
13089;2.1
12307;7.8
12203;15.1
12309;7.6
12205;12.9
10963;32.4
13583;13.9
10961;24.2
14059;29.4
12619;6.2
13581;13.4
10967;30.2
10965;25.2
12169;15.3
12167;13.1
10969;29.1
12165;14.6
10437;18.5
10439;15.1
12163;14.3
12161;14.2
12559;3.9
14057;20.8
13587;12.5
12557;3.5
13585;18.3
14055;24.7
12555;4.1
12589;2.6
14053;20.3
14052;28.8
12587;2.6
13589;11.8
10435;20.5
14050;23.1
13503;7.3
12277;10.4
12279;10.5
10707;23.2
10365;24.3
13509;11.5
10369;12.6
13505;7
10367;21.1
13507;9.6
10777;27.3
10779;22.2
10829;20.5
13129;2.9
13127;5.5
13125;5.2
12437;6.8
13467;4.6
10551;33.6
12435;14.3
13465;4.3
10553;34.3
10555;27.5
10789;27.9
14129;10.5
13469;8.4
10557;25.9
10787;29.5
14199;17.7
10559;31.9
10785;32.9
14197;17.3
14195;13.4
10783;28.9
12439;7.1
10781;25.9
14193;16.5
average;17
