zipcode;percent_foreigners
10997;39.8
10709;16.5
10999;37.1
13355;28.7
13357;31.8
10405;6.2
13359;25.4
10407;8.5
10409;4.1
12524;3
13351;17.4
13353;27.7
10711;15.2
10823;23.9
10713;15.1
10825;20.5
12526;1.9
10715;14.8
12527;2.3
12099;16.3
10827;21.9
10717;16.5
12487;4.7
13158;2.4
13159;0.5
10719;20.5
13156;5.1
12489;4.9
12349;8.4
14109;8.3
12347;13.7
13349;16
13059;3
13347;29.9
13057;6.5
10629;22.9
13055;6.5
10627;20.2
13053;7.1
10625;23.6
13051;2.8
10623;23.6
12687;3
12689;7.5
12459;3.3
12683;4.1
12685;2.5
12353;9.6
12355;4.8
12357;8.2
12359;8.6
10117;18.2
13439;7.4
13407;11.4
10119;10.7
13409;15.8
12351;9.5
10178;14.1
12681;5.1
13435;7.5
13403;10.4
10115;11
10179;11.5
13437;8
13405;13.8
14089;3.6
12679;2.6
14163;7.8
12103;12.1
12101;17.7
14167;9.7
12107;8.8
12105;11
14165;8.2
12043;34.7
10315;13.2
12249;8.8
12247;9.1
10317;5.1
12109;11.1
10318;3.3
10319;6.7
12049;32.9
12047;34.8
12045;27.6
14169;9.8
10243;10.5
12627;2.7
13591;6
13593;9.6
12629;2.9
10247;5.2
13627;20
13595;7.9
10245;6.4
13629;17.2
12159;11.5
12059;22.6
13189;4.8
12057;23.2
10249;5.8
12621;1.4
12623;1.2
12157;13
12051;26.3
12207;9.8
10589;19.5
12305;6.7
12209;8.1
10587;22.9
12055;28.9
10585;20.2
12053;34.4
13187;4.5
13086;3.1
13597;12.4
13088;2.6
13599;13.1
13089;1.2
12307;6.7
12203;11.2
12309;5.2
12205;10.2
10963;26.2
13583;10.1
10961;24.3
14059;22.5
12619;3
13581;9.8
10967;30.9
10965;23.6
12169;12
12167;10.4
10969;28.2
12165;10.8
10437;9
10439;7.3
12163;11
12161;11.8
12559;1.9
14057;14.4
13587;10.4
12557;2.4
13585;13.9
14055;23.4
12555;2.2
12589;7.8
14053;11
14052;29.1
12587;2.4
13589;8.4
10435;9.7
14050;16
13503;3.5
12277;7.8
12279;8
10707;17.7
10365;18.2
13509;9.4
10369;7
13505;5.3
10367;16
13507;7.3
10777;26
10779;18
10829;23
13129;1.8
13127;2.9
13125;2.7
12437;3.5
13467;4.5
10551;28.5
12435;10.8
13465;4.4
10553;27.1
10555;23.8
10789;21.7
14129;7.9
13469;7
10557;26.6
10787;27.1
14199;14.2
10559;26.5
10785;28.7
14197;15
14195;11.1
10783;31.8
12439;3.8
10781;28.9
14193;11.8
average;13
