zipcode;percent_men;percent_women
14052;57;43.1
14053;54;46.1
14050;49.5;50.5
13088;48.6;51.4
13089;49.7;50.4
14057;48.1;51.9
13086;49.9;50.1
14055;54.8;45.2
13409;49.4;50.6
10777;51.5;48.5
12559;48.3;51.7
10779;49.4;50.6
13407;48.8;51.2
12439;49.6;50.4
13125;51.1;48.9
12277;48.3;51.7
12279;48.3;51.7
12157;47;53
14059;50;50
12557;48.7;51.3
13129;49;51
12437;48.6;51.4
12679;48.3;51.8
13405;50.1;49.9
12159;47.2;52.9
13127;51.4;48.6
12555;48.1;51.9
12435;48.7;51.3
13403;49.5;50.5
12161;46.9;53.1
12681;53.8;46.2
12163;46.4;53.6
12165;47.3;52.7
12043;51.7;48.3
10789;51;49
12207;47.5;52.5
12209;47;53
10823;50.2;49.8
10825;49.4;50.6
10707;48.4;51.6
10827;49.4;50.6
12685;47.6;52.4
12167;46.9;53.1
10781;51.3;48.7
12045;50.8;49.2
12683;49.5;50.5
12169;47.1;52.9
10783;51.7;48.3
12047;51.3;48.8
12689;56.6;43.4
10785;54.1;45.9
14109;47.8;52.2
12203;47.7;52.3
12049;51.9;48.1
12687;49.4;50.7
10787;53;47
12205;47.9;52.1
13583;48.7;51.3
13187;48.4;51.6
12099;48.9;51.1
13581;47.8;52.2
13507;48;52
10117;51.6;48.5
13629;51.8;48.2
10997;51.8;48.2
13505;48;52.1
13627;53.3;46.7
10999;51.2;48.8
10119;51.1;48.9
13509;48.8;51.2
13587;47.5;52.5
13467;47.8;52.2
13189;48.5;51.5
13585;49.1;50.9
13465;47.9;52.1
13503;48.4;51.6
13349;49.9;50.1
13589;47.5;52.5
13347;51.8;48.3
10115;50.8;49.2
13469;48.7;51.3
13591;48.9;51.1
14163;45.9;54.1
14167;46.8;53.2
13353;54.9;45.1
13595;47.1;53
13593;47.3;52.7
14165;46.1;53.9
13351;51.7;48.3
12307;47.3;52.7
10249;49.8;50.2
12309;47.6;52.4
10405;49.5;50.5
10407;48.5;51.5
10409;47.9;52.1
13599;50.8;49.2
13357;51.8;48.3
10365;53.1;46.9
13597;50.4;49.6
10243;51;49
14169;46.4;53.6
13355;50.9;49.1
10367;52.1;47.9
10245;51.8;48.2
10369;48.7;51.3
12305;47.9;52.1
13359;50.9;49.1
10247;50.6;49.4
12351;47.9;52.1
12355;48.6;51.4
12353;47.9;52.1
10178;50.1;49.9
12359;48.2;51.8
10179;49.8;50.3
12357;48.7;51.3
13051;51.5;48.5
13055;48.2;51.8
13053;51.8;48.2
10623;51.5;48.5
12526;48.9;51.1
12527;49.1;50.9
10625;49.2;50.8
10627;49;51
10629;49.5;50.5
12487;50.9;49.1
13059;48.2;51.8
13057;55.6;44.5
10585;48.1;51.9
12524;49.4;50.6
10587;49.4;50.6
12247;46.4;53.6
12489;53.1;46.9
10589;49.8;50.3
12249;47.2;52.8
14195;48.1;51.9
12051;51.8;48.2
14193;49.5;50.6
14199;47.2;52.8
12053;51.4;48.6
14197;47.4;52.6
12055;53.4;46.6
10709;47.6;52.4
10829;49.5;50.5
10437;50.5;49.5
10711;47.7;52.3
10557;52;48
10315;51.5;48.6
10318;48.8;51.2
10439;49.8;50.2
10317;50.4;49.6
10713;47.9;52.2
10559;52.8;47.2
10319;48.9;51.1
10715;47.9;52.1
12619;48.6;51.4
10717;47.9;52.1
12057;51.9;48.1
12059;51.7;48.3
10551;53.6;46.4
12459;49.2;50.8
10553;54.3;45.7
10435;50.8;49.2
10555;51.9;48.1
14089;50.7;49.3
10719;49.5;50.5
12627;49.3;50.7
10965;51.6;48.4
12109;47.4;52.6
10967;51.6;48.4
13439;48.2;51.8
10969;50.5;49.5
12629;48.4;51.6
13158;49;51
12101;49.2;50.9
12587;46.6;53.4
13159;50.6;49.4
13156;48.4;51.6
12103;47.2;52.9
12623;49.3;50.7
13437;48.8;51.2
12105;47.4;52.6
10961;50.9;49.1
12349;48.9;51.1
12107;47.6;52.4
12621;49.6;50.4
13435;48.5;51.5
10963;53.3;46.7
14129;47.2;52.8
12589;49.4;50.6
12347;50.1;49.9
average;49.6;50.4
